Variant,Distance (km),Time (min),Comp. Time (s),Diversity
Standard GA,153.28674787056977,340.595911026001,55.552101612091064,0.65
GA-AM,147.17306974094882,335.33886909484863,54.52893424034119,0.67
GAAM-TS,122.3814760910238,300.0908288841248,1759.5601902008057,0.73
