generation,best_fitness,best_distance,best_time,avg_fitness,diversity,Variant
22,0.00209525100713071,181.420613889744,369.8114652633667,0.001808427741611,0.92,GAAM-TS
23,0.002136501660836527,178.28517977891264,362.21210861206055,0.0017980558401396,0.94,GAAM-TS
24,0.002153133902388104,174.4207029845321,362.5232448577881,0.001824852614221,0.94,GAAM-TS
25,0.0021684697822163114,173.1518624237824,360.0035285949707,0.0018678420533727,0.93,GAAM-TS
26,0.0021776505682441992,172.49270728064758,358.3972373008728,0.0018633283332776,0.95,GAAM-TS
27,0.002181052333906217,171.94954107433972,358.1809124946594,0.0018650044638468,0.95,GAAM-TS
28,0.002181052333906217,171.94954107433972,358.1809124946594,0.0018872886954779,0.95,GAAM-TS
29,0.002181052333906217,171.94954107433972,358.1809124946594,0.0018798809015974,0.98,GAAM-TS
30,0.002181052333906217,171.94954107433972,358.1809124946594,0.0018835546179485,0.97,GAAM-TS
31,0.002181052333906217,171.94954107433972,358.1809124946594,0.0018999268433966,0.97,GAAM-TS
32,0.00219370259148372,172.72241746047595,353.9098620414734,0.0019609894551463,0.95,GAAM-TS
33,0.0022454655490796714,163.51682894542776,352.28139781951904,0.0019990111027691,0.94,GAAM-TS
34,0.0022553113534093494,162.8576738022929,350.67510652542114,0.0020043388763323,0.93,GAAM-TS
35,0.0022646909654502043,161.13262950942095,350.535900592804,0.0020219989619707,0.87,GAAM-TS
36,0.002318702737457251,155.8929232529948,344.228392124176,0.0020220607786113,0.93,GAAM-TS
37,0.002333101357983116,154.8473104074131,342.2084126472473,0.002023825478652,0.91,GAAM-TS
38,0.002343817567873291,153.5840446285641,341.33790254592896,0.002037726737047,0.96,GAAM-TS
39,0.0023585307821127207,152.5384317829824,339.31792306900024,0.0020404322306727,0.94,GAAM-TS
40,0.002367525895932572,150.43292826289,339.93616914749146,0.0020444576976229,0.94,GAAM-TS
41,0.00236884094649019,150.3014632092339,339.8073964118957,0.0020530645895985,0.94,GAAM-TS
42,0.002373306590576755,149.5822292133661,339.71354150772095,0.0020767305462267,0.96,GAAM-TS
43,0.0023896400743650343,147.5822292133661,338.6135415077209,0.0020982983677893,0.93,GAAM-TS
44,0.0024004240353693628,146.5822292133661,337.5135415077209,0.0021069741132281,0.86,GAAM-TS
45,0.0024113057692606603,145.5822292133661,336.41354150772094,0.0021386658413627,0.85,GAAM-TS
46,0.0024159662759963797,145.5822292133661,335.41354150772094,0.0020930494213982,0.84,GAAM-TS
47,0.002426518572667739,144.5822292133661,334.41354150772094,0.0021334157348751,0.78,GAAM-TS
48,0.0024376387268788833,143.5822292133661,333.3135415077209,0.002153877650878,0.71,GAAM-TS
49,0.002454872915549793,141.5822292133661,332.21354150772095,0.002116842354467,0.83,GAAM-TS
50,0.0024723525320030884,139.5822292133661,331.1135415077209,0.0020924187292155,0.85,GAAM-TS
51,0.0024883479225488157,138.5822292133661,329.1135415077209,0.0020692134397695,0.83,GAAM-TS
52,0.002493311303350383,138.5822292133661,328.1135415077209,0.0020740648974799,0.77,GAAM-TS
