generation,best_fitness,best_distance,best_time,avg_fitness,diversity,Variant
0,0.0013720069442740381,322.7792290766059,507.60006952285767,0.001129717972185462,1.0,GA-AM
1,0.001470934675219454,301.0643491417249,473.4693684577942,0.0011896773215919253,1.0,GA-AM
2,0.0015188764340050957,282.90829552297447,469.3413863182068,0.0012405034518678775,0.98,GA-AM
3,0.0015826633563593006,265.83404124860857,457.51533460617065,0.0013019750820432072,0.98,GA-AM
4,0.0015832247967758294,264.7996223981208,458.5282778739929,0.0013455735802257356,0.98,GA-AM
5,0.001708092298253352,241.05780466624327,430.48831510543823,0.0014134538667243774,0.98,GA-AM
6,0.0017461182548430861,234.3918822033764,422.8837695121765,0.0014889477818432787,0.99,GA-AM
7,0.0018342949537264858,212.23045378223802,416.1726746559143,0.0015457521749949086,0.97,GA-AM
8,0.0018342949537264858,212.23045378223802,416.1726746559143,0.001562866226791495,0.97,GA-AM
9,0.001858640472198764,214.3037637873695,404.6548810005188,0.0015918854295516765,0.94,GA-AM
10,0.001929670874558525,203.66685965386765,393.19528579711914,0.0016357966461306899,0.93,GA-AM
11,0.001929670874558525,203.66685965386765,393.19528579711914,0.0016708875079257347,0.99,GA-AM
12,0.0019727180058797286,197.05689667780416,387.32240867614746,0.0017102432041574997,0.97,GA-AM
13,0.0019727180058797286,197.05689667780416,387.32240867614746,0.0017312575386449135,0.95,GA-AM
14,0.0019727180058797286,197.05689667780416,387.32240867614746,0.0017480030347277417,0.95,GA-AM
15,0.001994198828380802,190.20173931923333,389.0659656524658,0.0017669535712040046,0.95,GA-AM
16,0.001994198828380802,190.20173931923333,389.0659656524658,0.0017837776865699483,0.91,GA-AM
17,0.0021001547624498545,174.64077534145054,376.893262386322,0.0018089776514650675,0.93,GA-AM
18,0.0021001547624498545,174.64077534145054,376.893262386322,0.0018275545708218086,0.94,GA-AM
19,0.0021001547624498545,174.64077534145054,376.893262386322,0.0018420614926776613,0.97,GA-AM
20,0.002166980651899433,170.36459865749595,363.8837351799011,0.0018494489940258433,0.97,GA-AM
21,0.002166980651899433,170.36459865749595,363.8837351799011,0.001855315923326118,0.96,GA-AM
22,0.002166980651899433,170.36459865749595,363.8837351799011,0.0018838159778857028,0.97,GA-AM
23,0.002166980651899433,170.36459865749595,363.8837351799011,0.0018760900006472526,0.98,GA-AM
24,0.002166980651899433,170.36459865749595,363.8837351799011,0.0019309627744064355,0.98,GA-AM
25,0.002166980651899433,170.36459865749595,363.8837351799011,0.0019256743271174497,0.93,GA-AM
26,0.002166980651899433,170.36459865749595,363.8837351799011,0.0019455707545669055,0.93,GA-AM
27,0.0021760276848160143,169.1485574013383,363.0055241584778,0.001954621190890832,0.93,GA-AM
28,0.002186879262026846,167.86250849172922,361.7626338005066,0.001952981496863501,0.93,GA-AM
29,0.002186879262026846,167.86250849172922,361.7626338005066,0.0019804073544046575,0.96,GA-AM
30,0.002186879262026846,167.86250849172922,361.7626338005066,0.0019882892677185984,0.92,GA-AM
31,0.002218843509274263,165.40344257651327,356.6022357940674,0.0019955041488757337,0.87,GA-AM
32,0.002218843509274263,165.40344257651327,356.6022357940674,0.00197945615854101,0.9,GA-AM
33,0.002218843509274263,165.40344257651327,356.6022357940674,0.0019712896503367365,0.82,GA-AM
34,0.002234165665861681,165.03838431051454,353.19499683380127,0.0019747785172050743,0.83,GA-AM
35,0.002234165665861681,165.03838431051454,353.19499683380127,0.0019721435992440463,0.87,GA-AM
36,0.002234165665861681,165.03838431051454,353.19499683380127,0.00196490697125494,0.87,GA-AM
