generation,best_fitness,best_distance,best_time,avg_fitness,diversity,Variant
0,0.0021897852765368256,204.53964260727568,315.15767097473145,0.0018235980683973605,1.0,Standard GA
1,0.0021897852765368256,204.53964260727568,315.15767097473145,0.001895766221184352,1.0,Standard GA
2,0.0025068171636067863,165.45106435177883,291.8264446258545,0.0019616250519850376,0.98,Standard GA
3,0.002530236300327943,167.75362835794664,284.3329691886902,0.00203890909413963,0.98,Standard GA
4,0.002704510380246346,151.1845344860225,273.21019983291626,0.0021529386654488927,0.97,Standard GA
5,0.002704510380246346,151.1845344860225,273.21019983291626,0.0022659615466420206,0.97,Standard GA
6,0.0028557385776577125,138.1916389336348,264.9755873680115,0.002341353443729419,0.95,Standard GA
7,0.0028557385776577125,138.1916389336348,264.9755873680115,0.002381199881581281,0.96,Standard GA
8,0.0028557385776577125,138.1916389336348,264.9755873680115,0.002427283550088808,0.97,Standard GA
9,0.0028557385776577125,138.1916389336348,264.9755873680115,0.002485401228083161,0.96,Standard GA
10,0.002965400643620894,131.2804778324789,257.4276041984558,0.0025381865452439537,0.96,Standard GA
11,0.002965400643620894,131.2804778324789,257.4276041984558,0.002512339051474531,0.96,Standard GA
12,0.002965400643620894,131.2804778324789,257.4276041984558,0.0025298281251051307,0.92,Standard GA
13,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0025966647954357635,0.92,Standard GA
14,0.0030087872055600193,127.6172264644091,255.92825269699097,0.002565933478922141,0.89,Standard GA
15,0.0030087872055600193,127.6172264644091,255.92825269699097,0.002602719624567854,0.9,Standard GA
16,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026188429524890305,0.86,Standard GA
17,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026277960188018723,0.86,Standard GA
18,0.0030087872055600193,127.6172264644091,255.92825269699097,0.002624540789968434,0.86,Standard GA
19,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026800602197958098,0.81,Standard GA
20,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026194740448553955,0.8,Standard GA
21,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026765824928024406,0.72,Standard GA
22,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026548551868312478,0.76,Standard GA
23,0.0030087872055600193,127.6172264644091,255.92825269699097,0.002655115204833154,0.72,Standard GA
24,0.0030087872055600193,127.6172264644091,255.92825269699097,0.00266268603474574,0.74,Standard GA
25,0.0030087872055600193,127.6172264644091,255.92825269699097,0.00265413900311843,0.79,Standard GA
26,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026071102965010556,0.83,Standard GA
27,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026126191640648074,0.78,Standard GA
28,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026708662312646043,0.71,Standard GA
29,0.0030087872055600193,127.6172264644091,255.92825269699097,0.002664276374815474,0.73,Standard GA
30,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0026741416096023067,0.74,Standard GA
31,0.0030087872055600193,127.6172264644091,255.92825269699097,0.0027198027211338045,0.68,Standard GA
32,0.0030152346135189642,127.09521168173386,255.69242429733276,0.002632856187777866,0.76,Standard GA
33,0.0030152346135189642,127.09521168173386,255.69242429733276,0.002679416676301071,0.75,Standard GA
34,0.0030152346135189642,127.09521168173386,255.69242429733276,0.002672381437852567,0.8,Standard GA
35,0.0030152346135189642,127.09521168173386,255.69242429733276,0.0026733908622686114,0.77,Standard GA
36,0.0030152346135189642,127.09521168173386,255.69242429733276,0.0026693548064457106,0.79,Standard GA
37,0.0030152346135189642,127.09521168173386,255.69242429733276,0.0026996011244135765,0.77,Standard GA
38,0.0030152346135189642,127.09521168173386,255.69242429733276,0.002690177765939121,0.73,Standard GA
39,0.0030152346135189642,127.09521168173386,255.69242429733276,0.002642286332530376,0.79,Standard GA
40,0.0030152346135189642,127.09521168173386,255.69242429733276,0.0026471682160069394,0.75,Standard GA
41,0.003092753820391239,124.44271077281094,248.61715745925903,0.0026065046214274936,0.82,Standard GA
42,0.003092753820391239,124.44271077281094,248.61715745925903,0.0026127856536768863,0.87,Standard GA
43,0.003092753820391239,124.44271077281094,248.61715745925903,0.002623518445161704,0.86,Standard GA
44,0.003092753820391239,124.44271077281094,248.61715745925903,0.0026367868047765574,0.79,Standard GA
45,0.003092753820391239,124.44271077281094,248.61715745925903,0.0027212593757169907,0.74,Standard GA
46,0.003092753820391239,124.44271077281094,248.61715745925903,0.0026682309695607574,0.82,Standard GA
47,0.003092753820391239,124.44271077281094,248.61715745925903,0.002716347746168282,0.77,Standard GA
48,0.003092753820391239,124.44271077281094,248.61715745925903,0.0026649691619284586,0.81,Standard GA
49,0.00309956651434913,123.92069599013568,248.38132905960083,0.0027170719847423985,0.72,Standard GA
