generation,best_fitness,best_distance,best_time,avg_fitness,diversity,Variant
0,0.00221413342493539,197.86371181586122,317.2253170013428,0.0018265168725763426,1.0,GA-AM
1,0.002266163754082799,195.0199551673744,307.81802797317505,0.001965542159624206,0.96,GA-AM
2,0.002346454407520854,182.89802345328977,304.0961103439331,0.002039945016538234,0.94,GA-AM
3,0.0026760748398611967,153.7367840394977,274.93105363845825,0.002111676254453192,0.97,GA-AM
4,0.0027264137070232724,148.38265589615642,272.99942207336426,0.002154012844420896,0.98,GA-AM
5,0.0028031128922918597,144.09166899421726,265.81822061538696,0.00222242552705004,0.94,GA-AM
6,0.0028031128922918597,144.09166899421726,265.81822061538696,0.0022883060461109965,0.99,GA-AM
7,0.0028031128922918597,144.09166899421726,265.81822061538696,0.002378408551573129,0.97,GA-AM
8,0.0028031128922918597,144.09166899421726,265.81822061538696,0.0024667343551330653,0.97,GA-AM
9,0.00284624148808372,142.71180399840537,260.7859106063843,0.0024894580909360265,0.93,GA-AM
10,0.00284624148808372,142.71180399840537,260.7859106063843,0.0025520901951747743,0.96,GA-AM
11,0.002948782862352239,132.34870702791335,258.46782779693604,0.00255068229705233,0.96,GA-AM
12,0.0030432502335275544,128.98895653948318,249.508864402771,0.0025671363810519914,0.93,GA-AM
13,0.0030947495342095693,124.52763886343163,248.25035953521729,0.0025861974011563054,0.9,GA-AM
14,0.0030949766489507514,123.98944200867845,248.89346599578857,0.0026638555935893544,0.85,GA-AM
15,0.0030949766489507514,123.98944200867845,248.89346599578857,0.0027034953629625387,0.94,GA-AM
16,0.003138293139997073,121.3752749148183,246.58659172058105,0.00276220222711567,0.85,GA-AM
17,0.003138293139997073,121.3752749148183,246.58659172058105,0.0027875923885127556,0.83,GA-AM
18,0.003138293139997073,121.3752749148183,246.58659172058105,0.0027774733815615297,0.82,GA-AM
19,0.003138293139997073,121.3752749148183,246.58659172058105,0.002770411588986796,0.82,GA-AM
20,0.003138293139997073,121.3752749148183,246.58659172058105,0.0027972318709214034,0.79,GA-AM
21,0.0031647531528625106,119.39885673234268,245.72694206237793,0.0028851377495314507,0.74,GA-AM
22,0.0031647531528625106,119.39885673234268,245.72694206237793,0.0028305029383438067,0.77,GA-AM
23,0.0031647531528625106,119.39885673234268,245.72694206237793,0.002857254987885977,0.8,GA-AM
24,0.0031647531528625106,119.39885673234268,245.72694206237793,0.00285979483122802,0.73,GA-AM
25,0.0031647531528625106,119.39885673234268,245.72694206237793,0.0028709359671656655,0.73,GA-AM
26,0.0031647531528625106,119.39885673234268,245.72694206237793,0.002835353556761106,0.76,GA-AM
27,0.0031647531528625106,119.39885673234268,245.72694206237793,0.002816906168336541,0.78,GA-AM
28,0.0031647531528625106,119.39885673234268,245.72694206237793,0.0028199360402342884,0.76,GA-AM
29,0.0031647531528625106,119.39885673234268,245.72694206237793,0.0028145660937688994,0.8,GA-AM
30,0.0031647531528625106,119.39885673234268,245.72694206237793,0.002843588686909822,0.75,GA-AM
31,0.0031647531528625106,119.39885673234268,245.72694206237793,0.0029039879206549457,0.62,GA-AM
32,0.0031647531528625106,119.39885673234268,245.72694206237793,0.0028863147173103405,0.7,GA-AM
33,0.0031647531528625106,119.39885673234268,245.72694206237793,0.002817998142157456,0.71,GA-AM
34,0.0031647531528625106,119.39885673234268,245.72694206237793,0.002774263941392384,0.77,GA-AM
35,0.0031647531528625106,119.39885673234268,245.72694206237793,0.002846548899221388,0.72,GA-AM
36,0.0031760289642011564,118.84836614926162,245.01277923583984,0.002817431061481605,0.71,GA-AM
37,0.0031760289642011564,118.84836614926162,245.01277923583984,0.002823164601665343,0.75,GA-AM
38,0.0031760289642011564,118.84836614926162,245.01277923583984,0.0027939623491168098,0.76,GA-AM
39,0.0031760289642011564,118.84836614926162,245.01277923583984,0.0027881624272146116,0.77,GA-AM
40,0.0031760289642011564,118.84836614926162,245.01277923583984,0.00282787913146989,0.76,GA-AM
41,0.0031760289642011564,118.84836614926162,245.01277923583984,0.0027886593837374864,0.81,GA-AM
42,0.0031760289642011564,118.84836614926162,245.01277923583984,0.00283463225485406,0.75,GA-AM
43,0.003200555483492427,117.34708057655608,243.87335300445557,0.0028674917158208273,0.71,GA-AM
44,0.003200555483492427,117.34708057655608,243.87335300445557,0.002884591128248065,0.71,GA-AM
45,0.003200555483492427,117.34708057655608,243.87335300445557,0.0029111173669102226,0.71,GA-AM
46,0.003200555483492427,117.34708057655608,243.87335300445557,0.0028932111506775487,0.73,GA-AM
47,0.003200555483492427,117.34708057655608,243.87335300445557,0.002884809843893519,0.71,GA-AM
48,0.003200555483492427,117.34708057655608,243.87335300445557,0.0028808618268162806,0.63,GA-AM
49,0.003200555483492427,117.34708057655608,243.87335300445557,0.0028515257856568106,0.72,GA-AM
