Variant,Distance (km),Time (min),Comp. Time (s),Diversity
Standard GA,125.21600013105783,246.96971464157104,30.85523247718811,0.6
GA-AM,117.34708057655605,243.87335300445557,59.128719091415405,0.74
GAAM-TS,117.23417306074177,243.09471464157104,286.25088119506836,0.62
