LocationIDO,LocationIDD,Distance_km,Travel_Time_min
179,117,22.936383471584254,27.98417854309082
179,137,5.337782812741121,16.59856605529785
179,214,24.446638569253405,29.48011589050293
179,46,15.052408667696822,18.40932846069336
179,254,13.60417234381782,17.68109130859375
179,144,8.076441379375387,18.686246871948242
179,113,7.056023473027227,18.03792953491211
179,97,9.794883704082443,19.674848556518555
179,86,23.808813443115444,28.48389434814453
179,82,5.602783301841497,16.000572204589844
179,73,10.402378525426723,18.165254592895508
179,235,9.049886048796038,16.8535099029541
179,213,7.843573104039336,16.492355346679688
179,218,17.15208972575233,22.888059616088867
179,31,10.557997265670206,17.017759323120117
179,10,15.50558271711991,21.8183650970459
179,116,6.388255843922965,16.224740982055664
179,118,26.859791233048735,31.111024856567383
179,25,10.71905734064639,20.1995849609375
179,47,8.250394871443856,16.603113174438477
179,211,8.140070303167343,18.7084903717041
179,257,13.754520638617432,22.01760482788086
179,198,7.5649809995808575,18.035593032836914
179,208,10.546818733533192,17.22504234313965
179,160,7.181550824819756,17.54016876220703
179,114,7.553067670774314,18.359081268310547
179,7,1.3358302034433474,6.399105072021484
179,220,12.397964550523826,17.540578842163086
179,175,15.015690300402445,20.207944869995117
179,139,18.76097482129958,23.794382095336914
179,219,18.41642963359993,23.868053436279297
179,67,18.355122201916267,25.183744430541992
179,20,10.222051600984043,16.972667694091797
179,124,14.423640524137472,21.756486892700195
117,179,22.936383471584254,28.794950485229492
117,137,22.66964498769173,29.091365814208984
117,214,25.061251206867954,31.471126556396484
117,46,28.327740070344753,31.883697509765625
117,254,32.52447371177851,35.942893981933594
117,144,22.487665441398264,29.12337303161621
117,113,23.15586540417781,29.691926956176758
117,97,18.998710816389668,25.807353973388672
117,86,3.054893907297547,8.059393882751465
117,82,17.764361939017935,23.530797958374023
117,73,17.835879189742137,22.664379119873047
117,235,30.622782982685745,35.08420944213867
117,213,25.518091329042456,30.27988624572754
117,218,8.77797125935215,15.320003509521484
117,31,30.167104601817652,34.36764907836914
117,10,9.427982877588917,16.12689781188965
117,116,29.14628128785601,34.2636604309082
117,118,29.07843374771829,34.692317962646484
117,25,19.48553251898795,26.345746994018555
117,47,29.157425329244578,33.82456970214844
117,211,23.000477583541706,29.617511749267578
117,257,17.2550684016055,24.27627944946289
117,198,15.679748905172943,22.168916702270508
117,208,25.619745070990163,29.94923973083496
117,160,15.778062779181639,21.980037689208984
117,114,23.043972177383928,29.62030029296875
117,7,21.601700775275145,27.477128982543945
117,220,33.61297773994363,37.098838806152344
117,175,16.766398947456306,21.227632522583008
117,139,9.98869323216787,16.222932815551758
117,219,7.857964773470055,14.28572940826416
117,67,19.184144841533467,26.169605255126953
117,20,30.393660488733442,34.638912200927734
117,124,8.526275284988415,15.595584869384766
137,179,5.337782812741121,16.258394241333008
137,117,22.66964498769173,28.875085830688477
137,214,19.39380532811706,26.80998420715332
137,46,20.372559241820458,24.58186149597168
137,254,18.602281465329177,23.14946937561035
137,144,2.773099570064935,12.969240188598633
137,113,1.739271776132393,9.720392227172852
137,97,5.515479812384526,17.27263069152832
137,86,24.183035593262936,29.91119384765625
137,82,8.3944774558822,18.695354461669922
137,73,14.370357480516567,21.394886016845703
137,235,13.453874374249065,20.095491409301758
137,213,13.181170409052774,20.01849365234375
137,218,18.794595871268044,25.419157028198242
137,31,15.568515612867142,21.130495071411133
137,10,17.098497637577875,24.17398452758789
137,116,9.899691256233659,18.827112197875977
137,118,21.612847787097518,28.281522750854492
137,25,6.140068122788686,18.003938674926758
137,47,13.054595408073265,19.87575340270996
137,211,2.8023864360261848,13.081357955932617
137,257,9.64280132034423,20.552452087402344
137,198,7.355477267618905,18.43304443359375
137,208,15.855847799960557,21.458383560180664
137,160,8.509045393549785,18.98819923400879
137,114,2.2175746446245665,11.493342399597168
137,7,5.336287790541101,16.253263473510742
137,220,16.7149985888685,21.99294662475586
137,175,18.741686051910317,24.463359832763672
137,139,20.84936649060027,26.848875045776367
137,219,19.912267479102127,26.32712173461914
137,67,13.782454002175877,23.158689498901367
137,20,15.109312398343947,20.880992889404297
137,124,14.386337527708806,22.79175567626953
214,179,24.446638569253405,34.34021759033203
214,117,25.061251206867954,33.69878387451172
214,137,19.39380532811706,30.390172958374023
214,46,38.80894763824079,42.872806549072266
214,254,37.975605444305764,42.63818359375
214,144,16.670422107018258,28.134790420532227
214,113,17.93330573048365,29.2159481048584
214,97,14.864689987398368,26.400720596313477
214,86,28.010688044547436,35.87785720825195
214,82,24.456369333559238,34.111228942871094
214,73,29.97710339373775,37.890830993652344
214,235,32.802281970102314,40.03877639770508
214,213,32.05781719349149,39.43434143066406
214,218,28.082790952547285,36.2798957824707
214,31,34.932636749043056,41.13788986206055
214,10,26.937086555324537,35.526611328125
214,116,29.080286544624954,37.78752899169922
214,118,4.018517511693644,11.23854923248291
214,25,13.827282775257263,25.497617721557617
214,47,32.4470569368488,39.7900505065918
214,211,16.799697162920786,28.267425537109375
