LocationIDO,LocationIDD,Distance_km,Travel_Time_min
179,117,22.936383471584254,29.146446228027344
179,137,5.337782812741121,16.655010223388672
179,214,24.446638569253405,30.692546844482422
179,46,15.052408667696822,18.7435359954834
179,254,13.60417234381782,17.93773078918457
179,144,8.076441379375387,18.819860458374023
179,113,7.056023473027227,18.12322425842285
179,97,9.794883704082443,19.91888427734375
179,86,23.808813443115444,29.678791046142578
179,82,5.602783301841497,15.990251541137695
179,73,10.402378525426723,18.20941734313965
179,235,9.049886048796038,16.84308624267578
179,213,7.843573104039336,16.41435432434082
179,218,17.15208972575233,23.652807235717773
179,31,10.557997265670206,17.045711517333984
179,10,15.50558271711991,22.4228515625
179,116,6.388255843922965,16.187049865722656
179,118,26.859791233048735,32.35710525512695
179,25,10.71905734064639,20.526865005493164
179,47,8.250394871443856,16.55280303955078
179,211,8.140070303167343,18.845279693603516
179,257,13.754520638617432,22.623565673828125
179,198,7.5649809995808575,18.095733642578125
179,208,10.546818733533192,17.22134017944336
117,179,22.936383471584254,29.776086807250977
117,137,22.66964498769173,30.093263626098633
117,214,25.061251206867954,32.54195022583008
117,46,28.327740070344753,32.8182373046875
117,254,32.52447371177851,36.810089111328125
117,144,22.487665441398264,30.13288688659668
117,113,23.15586540417781,30.707454681396484
117,97,18.998710816389668,26.704002380371094
117,86,3.054893907297547,7.8948774337768555
117,82,17.764361939017935,24.228769302368164
117,73,17.835879189742137,23.26849365234375
117,235,30.622782982685745,36.002994537353516
117,213,25.518091329042456,31.250587463378906
117,218,8.77797125935215,15.404173851013184
117,31,30.167104601817652,35.287933349609375
117,10,9.427982877588917,16.251968383789062
117,116,29.14628128785601,35.219139099121094
117,118,29.07843374771829,35.712554931640625
117,25,19.48553251898795,27.273067474365234
117,47,29.157425329244578,34.769039154052734
117,211,23.000477583541706,30.63484001159668
117,257,17.2550684016055,25.11564826965332
117,198,15.679748905172943,22.763874053955078
117,208,25.619745070990163,30.90806770324707
137,179,5.337782812741121,16.527408599853516
137,117,22.66964498769173,30.201936721801758
137,214,19.39380532811706,28.030437469482422
137,46,20.372559241820458,26.060606002807617
137,254,18.602281465329177,24.609498977661133
137,144,2.773099570064935,13.26545524597168
137,113,1.739271776132393,9.906608581542969
137,97,5.515479812384526,17.662433624267578
137,86,24.183035593262936,31.281042098999023
137,82,8.3944774558822,19.024660110473633
137,73,14.370357480516567,22.21367073059082
137,235,13.453874374249065,20.960237503051758
137,213,13.181170409052774,20.738603591918945
137,218,18.794595871268044,26.62173843383789
137,31,15.568515612867142,22.223430633544922
137,10,17.098497637577875,25.257503509521484
137,116,9.899691256233659,19.301361083984375
137,118,21.612847787097518,29.585256576538086
137,25,6.140068122788686,18.422977447509766
137,47,13.054595408073265,20.651487350463867
137,211,2.8023864360261848,13.382701873779297
137,257,9.64280132034423,21.136777877807617
137,198,7.355477267618905,18.78080940246582
137,208,15.855847799960557,22.489194869995117
214,179,24.446638569253405,36.18010711669922
214,117,25.061251206867954,35.3041877746582
214,137,19.39380532811706,32.24491882324219
214,46,38.80894763824079,44.35813903808594
214,254,37.975605444305764,44.20530319213867
214,144,16.670422107018258,29.931556701660156
214,113,17.93330573048365,31.05182456970215
214,97,14.864689987398368,28.10397720336914
214,86,28.010688044547436,37.435577392578125
214,82,24.456369333559238,35.894073486328125
214,73,29.97710339373775,39.54224395751953
214,235,32.802281970102314,41.740230560302734
214,213,32.05781719349149,41.103878021240234
